Category	Text
d	string
class	

deportes	Barcelona goleó al Ferencvaros en su debut en Champions Fútbol Internacional Hace 6 horas Por: Agencia EFE Con goles de Messi, Ansu Fati, Coutinho, Pedri y Dembélé, el cuadro culé se impuso al equipo húngaro. El equipo 'blaugrana' se enfrentará a la Juventus de Italia el próximo miércoles 28 de octubre. El equipo 'blaugrana' se enfrentará a la Juventus de Italia el próximo miércoles 28 de octubre. / LLUIS GENE Tras enterrar definitivamente un ciclo en la infausta noche lisboeta, el Barça inició este martes su camino hacia la redención en la Champions League y lo hizo con una goleada por 5-1, que tuvo luces y también sombras, ante el Ferencvaros húngaro. El conjunto azulgrana tardó bastantes minutos en salir de su particular depresión. El contexto de pandemia y un escenario desangelado al que sigue costando acostumbrarse, ciertamente tampoco le ayudaron. El Camp Nou, protagonista de grandes noches europeas, aguardaba de nuevo mudo y vacío la reacción del equipo. Y esta llegó al ritmo que marcó Leo Messi. La última imagen del ’10' vistiendo la camiseta azulgrana no podía ser la del 2-8 ante el Bayern. No hubiera sido justo para la historia de este deporte. Y la ‘Pulga’ volvió hoy a la Champions para empezar a marcar el camino que debe recorrer un equipo en rehabilitación. El Barcelona solo amenazaría en los primero compases con dos lanzamientos de falta de Messi y otro disparo con la zurda del crack de Rosario ajustado a un palo que obligó a Dibusz a sacar su primera mano para evitar que los locales se adelantaran en el marcador. (Morata anotó doblete y le dio la victoria a la Juventus en Champions) Mientras tanto, un Ferencvaros bien intencionado, intentaba salir con el balón jugado y amenazaba a la contra al Barça en dos acciones de Tokmac Nguen. En la primera, le ganaba la espalda a Piqué antes de fusilar a Neto, pero el árbitro anularía el tanto por fuera de juego. En la segunda, el punta del equipo húngaro controlaba un balón en el área para cedérselo a Isael, que estrellaba su remate en el palo. En otros tiempos, se hubieran escuchado los primeros murmullos en el Camp Nou, porque no andaba fino el conjunto azulgrana. Hasta que Messi agarró un balón en la línea de tres cuartos para iniciar un eslalon marca de la casa e ir superando rivales hasta ser claramente derribado por Kovacevic dentro del área. El astro argentino transformó la pena máxima poco antes de la media hora, y el Barça se liberó. Llegaron entonces los mejores minutos de los locales en la primera mitad, con Pjanic al mando en la sala de máquinas, en su primer partido como titular, y un hiperactivo Ansu Fati por el flanco izquierdo del ataque. El hispano-guineano, que había avisado a Dibusz con un disparo dentro del área que este sacó con el pie, hizo el 2-0 al filo del descanso, tras combinar con De Jonk y conectar un remate con la espinilla sobre la salida en falso del meta del Ferencvaros. Al inicio de la reanudación, Fati asistiría de tacón a Coutinho para que el brasileño hiciera el tercero. Y ahí pareció quedar definitivamente finiquitado el choque. O al menos así le pareció a Koeman, que dio entrada a Junior, Pedri y Dembélé, por Sergi Roberto, Ansu Fati y Trincao, pensando en el Clásico del próximo sábado. Sin embargo, un penalti innecesario de Piqué, en una pugna con Nguen, animaba la recta final del partido. El central catalán se marchaba expulsado con roja directa y con cara de pocos amigos, consciente de que su absurda acción con 3-0 en el marcador, le hará perderse el próximo choque de Champions en Turín. Karahtin hacía el gol del honor y el campeón húngaro, con un jugador más, dominó al Barça en esta última fase. Mak pudo hacer el segundo, pero se encontró con la manopla de Neto y los azulgranas sentenciaron a la contra en los últimos minutos. El protagonista de ambos tantos fue Dembélé, que regaló el 4-1 a Pedri tras una gran jugada personal y marcó el quinto tras recibir una asistencia de Messi.
deportes	Tras la victoria de Argentina sobre Uruguay en el cierre de la segunda fecha de la Copa América, así va la tabla de posiciones. No hubo mayores cambios en la tabla de posiciones de la Copa América tras el cierre de la segunda fecha. Mañana habrá jornada de descanso. El domingo empezará la tercera fecha con los partidos entre Venezuela y Ecuador (4:00 p. m.) y Colombia vs. Perú (7:00 p. m.). En ese grupo B, el descanso lo tendrá Brasil, líder y local del torneo. Colombia, que jugará contra Perú, el colero del grupo B, en la próxima jornada y que viene de vencerlo también por las eliminatorias, tendrá una gran posibilidad de asegurar su segundo puesto y, por consiguiente, su clasificación a la siguiente ronda del torneo. Por el grupo A, Uruguay vs. Chile (4:00 p. m.) y Argentina vs. Paraguay serán los compromisos a disputar por la tercera fecha el lunes 21 de junio. Bolivia tendrá jornada de descanso. Así las cosas, de esta manera quedó la tabla de posiciones de la Copa América de Brasil 2021 tras dos fechas de juego: Grupo A: 1. Argentina / 4 puntos / +1 2. Chile / 4 puntos / +1 3. Paraguay / 3 puntos / +2 4. Uruguay / 0 puntos / -1 5. Bolivia / 0 puntos / -3 Grupo B: 1. Brasil / 9 puntos / +7 2. Colombia / 5 puntos / +1 3. Venezuela / 1 punto / -3 4. Ecuador / 0 puntos / -1 5. Perú / 0 puntos / -4
deportes	Los conceptos de la escuela holandesa que aplica el Liverpool de Jürgen Klopp Deportes Hace 1 hora Por: Sebastián Arenas - @SebasArenas10 El equipo que dirige el entrenador alemán enfrenta este miércoles al Ajax, el club donde Rinus Michels comenzó a implementar ideas que revolucionaron el fútbol. Jürgen Klopp, entrenador alemán del Liverpool de Inglaterra. Jürgen Klopp, entrenador alemán del Liverpool de Inglaterra. / PETER BYRNE “Defensas que acumulan una gran cantidad de efectivos solo pueden verse sorprendidas por la ejecución de ataques masivos, incorporando a esta fase del juego el mayor número de jugadores que permitiese la acción”, dijo Rinus Michels después de observar la final de la Copa de Europa de 1967, en la que el Celtic de Escocia venció 2-1 al Inter de Milán, de Helenio Herrera. (El Barcelona de Guardiola: orígenes y revolución de una obra eterna) Así, el mítico holandés —quien fue elegido mejor técnico de la historia por las revistas Time y France Football—, comenzó a visualizar el estilo de juego con el que revolucionaría el fútbol. Michels, apodado el General, se dio cuenta de que aplicando ciertos conceptos podía marcar la diferencia en la manera de jugar de la época. Uno de ellos fue descrito por el periodista y entrenador brasileño João Saldanha en el libro Na Bôca do Túnel (En la boca del túnel) en 1968: “Hoy, el fútbol, como todo además, evolucionó a pasos gigantescos. La capacidad de resistencia de los jugadores y su habilidad con la pelota están creando situaciones enteramente nuevas con relación a las posiciones clásicas de los sistemas, que están siendo llevados a la rastra por la práctica del juego. Un jugador, para ser eficiente, tiene que saber jugar en varias posiciones. Tiene que saber defender y atacar, y cualquier sistema moderno que pretenda ser eficiente tiene que comprender que no puede ser rígido. Antes, cuando un jugador invadía la posición de otro compañero, llevaba enseguida una bronca: ‘Sal fuera, acá entorpeces; anda a tu lugar’. Y el entrenador apoyaba esta réplica. Un jugador que diga eso hoy no merece entrar al campo. El fútbol, comparativamente, está caminando para los rumbos del básquet: todos juegan de todo, menos el arquero”. Ese constante intercambio de posiciones se sumó a la presión tras la pérdida, que Michels definió así: “Consiste en acosar sin tregua ni respiro al adversario para recuperar la posesión del balón, y no ceder a ningún precio la iniciativa del ataque al contrincante, contando con dos requisitos básicos: un espíritu de lucha inquebrantable y una perfecta preparación física, sin los cuales el sistema se derrumba irremediablemente”. La idea es recuperar la pelota rápidamente y lo más cercano posible al arco rival. Para eso, el equipo debe avanzar en la cancha, empezando desde los defensores, que, lógicamente, dejan un gran espacio a sus espaldas, el cual debe ser cubierto por un portero líbero que sepa jugar con los pies y, además de atajar, sea partícipe de la construcción de las acciones ofensivas. Todos deben atacar y defender. “Vamos a organizar un estilo de juego al que llamaremos pressing football”, les dijo Michels a Cruyff, Neeskens, Rep, Van Hanegen, Haan y los demás jugadores de la llamada Naranja Mecánica, la selección holandesa del Mundial de Alemania 1974, en el que fue subcampeona —por detrás de los anfitriones—, pero dejó un legado eterno con el denominado “fútbol total”. Lea también: Las escuelas que han marcado la historia del fútbol colombiano Johan Cruyff fue el emblema de ese combinado holandés y del Ajax de Michels que conquistó la Copa de Europa de 1971. El equipo de Ámsterdam también se consagró en el Viejo Continente en 1972 y 1973, año en el que Cruyff llegó al Barcelona y lo revolucionó en condición de jugador. También lo haría como entrenador entre 1990 y 1994, sumándole a los conceptos de Michels su devoción por el juego de posición, en el que el 4-3-3 es clave para formar triángulos y rombos constantes, los cuales son sinónimos de mayores opciones de pase. Ese esquema también ofrece extremos abiertos, un centro delantero que se suma a los volantes para participar de la gestación del juego, interiores que llegan al área y laterales que acompañan arriba. Esos conceptos fueron asimilados por el director técnico alemán Jürgen Klopp, quien los aplicó en el Borussia Dortmund y, desde 2015, en el Liverpool. En el club británico comenzó jugando 4-2-3-1, pero se dio cuenta de que el 4-3-3 era la mejor opción y puso a Salah a comenzar como extremo derecho y terminar, en muchas ocasiones, como delantero centro. Misma situación le sucede a Sadio Mané, aunque el senegalés es más fijo por la izquierda, para que los cambios de frente del lateral derecho, Alexander Arnold, generen espacios en la defensa contraria. Por su parte, Fabinho o Henderson, dependiendo de quien juegue de volante central, coordinan las transiciones en un juego en el que la salida por abajo desde el portero Alisson es fundamental para ir progresando en el campo a punta de toques, que son la clave para mover al cuadro contrario y encontrar los espacios. Esa concepción del juego tiene sus orígenes en la escuela holandesa, de la que es baluarte el Ajax, que este miércoles enfrenta a un Liverpool que ha sabido ganar recientemente la Champions y la Premier con una ideología que, cincuenta años después, sigue vigente.
deportes	Morata anotó doblete y le dio la victoria a la Juventus en Champions Fútbol Internacional Hace 8 horas Por: Andrea Montolivo El español Álvaro Morata firmó un doblete decisivo este martes para darle a un Juventus sin el portugués Cristiano Ronaldo, en cuarentena por coronavirus, un trabajado triunfo por 0-2 en el campo del Dinamo de Kiev, en el debut del cuadro italiano en el grupo G de la Liga de Campeones. El equipo de Andrea Pirlo debutó con victoria en la Champions League. Álvaro Morata fue la figura tras anotar doblete. El equipo de Andrea Pirlo debutó con victoria en la Champions League. Álvaro Morata fue la figura tras anotar doblete. / Agencia EFE Con su tercer gol en tres partidos con la camiseta del Juventus, al que regresó en la última sesión de mercado procedente del Atlético Madrid, Morata hizo de Cristiano y le dio al técnico Andrea Pirlo un valioso triunfo en su estreno en el banquillo en la máxima competición continental. El conjunto juventino, dos veces campeón de la Copa de Europa, pero sin trofeos desde 1996, con siete finales perdidas, arrancó con tres puntos en un grupo en el que también están encuadrado el Barcelona y el Ferencvaros. Empezó con buen pie la primera experiencia de Pirlo en un banquillo en la Liga de Campeones, una competición que el italiano ganó dos veces en su carrera de jugador. Su estreno fue ante el rumano Mircea Lucescu, preparador del Dinamo Kiev, quien le hizo debutar en 1994 cuando dirigía al Bresica y Pirlo era un talentoso chico de apenas 16 años. Este martes en el estadio Olímpico de Kiev, el técnico italiano se encomendó a Morata, Federico Chiesa y al sueco Dejan Kulusevski, con el desafío de sustituir al rey de la Copa de Europa, un Cristiano que siguió a sus compañeros por televisión durante su cuarentena en su vivienda de Turín. El equipo italiano controló las operaciones, pero el meta ucraniano Georgi Bushchan acertó en las jugadas de peligro generadas por Chiesa, con un disparo curvado hacia el segundo poste (m.13) y Kulusevski, quien rozó un golazo de tacón (m.33). Además, la lesión sufrida por Giorgio Chiellini, líder absoluto de la zaga turinesa, aumentaba la tensión para el cuadro de Pirlo. Pero el muro del Dinamo Kiev se derrumbó en el primer minuto de la segunda mitad, cuando un mal rechace del meta fue aprovechado bajo palos por Morata para firmar su segunda diana consecutiva, tras la anotada el sábado en el campo del Crotone. Cogió aire al Juventus, que sufriría mucho desde ese momento ante la reacción del Dinamo Kiev. Pirlo dio paso al argentino Paulo Dybala, quien debutó esta campaña, pero a su equipo siguió costándole contener el empuje del Dinamo Kiev. La “Joya” volvió a pisar el terreno de juego dos meses y medio después de la última vez, tras recuperarse de una grave lesión muscular y de unos problemas abdominales que le impidieron entrenarse con normalidad durante la reciente concentración con la selección argentina. Sufrió el Juventus, pero no cedió y el premio le llegó en el minuto 84, cuando un centro del colombiano Juan Guillermo Cuadrado lo remató de cabeza Morata para subir el 2-0 al marcador y dar un triunfo a Pirlo en su estreno en la Liga de Campeones. En la próxima jornada europea, el cuadro turinés se verá las caras con el Barcelona, en un duelo programado para el 28 de octubre en el Juventus Stadium de Turín. Ficha del partido: 0. Dinamo Kiev: Bushchan; Karavaiev (Popov, m.70), Mykolenko, Zabrnyi, Kedziora; Shaparenko, Sydorchuk, Buyalskyy (Garmash, m.89); De Pena (Rodrigues, m.59), Tsygankov (Verbic, m.70); Supryaga. 2. Juventus: Szczesny; Danilo, Bonucci, Chiellini; Cuadrado, Bentancur (Arthur, m.79), Rabiot, Chiesa; Ramsey (Bernardeschi, m.80); Morata, Kulusevski (Dybala, m.56). Goles: 0-1, m.46: Morata; 0-2, m.85: Morata. Árbitro: Ovidiu Hategan (RUM). Mostró cartulina amarilla a Bentancur (m.45), Cuadrado (m.50) y a Demiral (m.59), del Juventus. Incidencias: Partido correspondiente a la primera jornada del grupo G de la Liga de Campeones disputado en el estadio Olímpico de Kiev (Ucrania) ante cerca de 14.000 espectadores. EFE
deportes	Con goles colombianos, River Plate clasificó a octavos de la Libertadores Fútbol Internacional Hace 42 minutos Por: Agencia AFP Rafael Santos Borré y Jorge Carrascal marcaron para la victoria del conjunto ‘millonario’ por 3-0 ante Liga de Quito. El delantero colombiano alcanzó los 36 goles con el equipo argentino. El delantero colombiano alcanzó los 36 goles con el equipo argentino. / AGUSTIN MARCARIAN El argentino River Plate goleó 3-0 (parcial 0-0) al ecuatoriano Liga de Quito y terminó como líder del Grupo D de la Copa Libertadores 2020, en un partido jugado este martes en el estadio de Independiente (Avellaneda, periferia sur bonaerense) por la sexta y última fecha. El colombiano Rafael Borré (53), Julián Álvarez (60) y otro cafetero, Jorge Carrascal (89), marcaron los goles para el holgado triunfo de River. (Se definió el primer grupo de la Copa Libertadores) Con los resultados de la última jornada, River terminó al tope del Grupo D con 13 puntos, seguido por Liga de Quito (12), mientras que Sao Paulo (7) se clasificó como tercero a la Copa Sudamericana y el peruano Binacional (3) quedó eliminado.
deportes	Así terminó la jornada del martes de la Champions League Fútbol Internacional Hace 5 horas Por: Redacción Deportes La temporada 2020-2021 de la Liga de Campeones comenzó con ocho partidos. Este miércoles se completará la primera jornada con ocho partidos. Este miércoles se completará la primera jornada con ocho partidos. / FRANCK FIFE Luego de que el Bayern Múnich se impusiera en la final ante el París Saint-Germain de la edición 2019-2020 de la Champions League marcada por la pandemia del coronavirus y que debió terminar con una ‘Final 8’ en Lisboa, Portugal, el torneo de clubes más importante del mundo regresó con su fase de grupos este martes. En el primer turno, El Zenit de San Petersburgo con el colombiano Wilmar Barrios como titular, cayó sobre la hora ante el Brujas de Bélgica por 2-1 que tuvo en el banco de suplentes al defensor Éder Álvarez Balanta. Además, la Juventus de Turín ganó de visitante al Dinamo de Kiev de Ucrania por 2-0. El español Álvaro Morata fue el goleador del partido con un doblete y que no contó con la presencia de Cristiano Ronaldo luego de haber resultado positivo para coronavirus. Juan Guillermo Cuadrado jugó los 90 minutos y dio una asistencia. Luego, seis partidos se jugaron en simultaneo para completar la jornada del martes. Por el grupo E, el Chelsea de Inglaterra recibió al Sevilla de España en un partido intenso que no terminó en empate a cero. Por otro lado, el Rennes de Francia y el Krasnodar de Rusia se repartieron los puntos al igualar por 1-1. Camplementando el resultado entre el Zenit y el Brujas, la Lazio recibió en el estadio Olímpico de Roma al Borussia Dortmund y lo sorprendió con una gran victoria por 3-1. El italiano Ciro Immobile, el marfileño Jean Akpa y un autogol del portero suizo Marwin Hitz, sentenciaron el partido. El noruego Erling Braut Haaland descontó para el BVB. Completando el grupo de la Juventus, el Barcelona goleó en casa al Ferencvaros húngaro por 5-1 con goles de Lionel Messi, Ansu Fati, Philippe Coutinho, Pedri y Ousmane Dembélé. Ihor KAratin descontó para la visita tras un penalti cometido por Gerad Piqué, que se fue expulsado del encuentro. El Manchester United venció a domicilio al París Saint-Germain en el Parque de los Príncipes por 2-1 con goles de Bruno Fernandes y Marcus Rashford. El francés Anthony Martial mandó un cabezazo al fondo de su propio arco defendido por David de Gea para el único tanto del actual subcampeón del torneo. Cerrando el grupo H, el RB Leipzig venció en casa al debutante Basaksehir de Estambul, Turquía, por 2-0 con tantos del español Angeliño. Este miércoles se completará la jornada con ocho partidos más entre los que se destacan la aparición del campeón, el Bayern Múnich, recibiendo al Atlético de Madrid. El Liverpool visitará al Ajax en Ámsterdam, Países Bajos y el Inter de Milán enfrentará al Borussia Monchengladbach en el estadio Giuseppe Meazza. Igualmente se disputarán los partidos entre el Real Madrid vs. Shakhtar Donetsk, Midtjylland vs. Atalanta, Manchester City vs. Porto, Red Bull de Salzburgo vs. Lokomotiv y Olympiakos vs. Olympique de Marsella
deportes	Vuelta a España 2020: Esteban Chaves, cuarto en la primera etapa Ciclismo Hace 11 horas Por: Redacción Deportes, Agencia AFP El esloveno Primoz Roglic empezó a pisar fuerte y triunfó en la primera de las 18 jornadas que tendrá la carrera, y que irá hasta el 8 de noviembre, El pedalista del Jumbo-Visma ganó en los 173 kilómetros del recorrido. Richard Carapaz fue segundo y Esteban Chaves llegó en el cuarto lugar en una destacada actuación en la montaña. Pese a que la primera etapa tenía varios puertos de montaña, la jornada se desarrolló con calma en un gran porcentaje de los 173 kilómetros de recorrido. Pese a que la primera etapa tenía varios puertos de montaña, la jornada se desarrolló con calma en un gran porcentaje de los 173 kilómetros de recorrido. / Agencia AFP Un atípica Vuelta a España, amenazada por la meteorología otoñal y el coronavirus, arrancó el martes en Irún (País Vasco, norte), con el esloveno Primoz Roglic, vencedor el pasado año, como firme aspirante a revalidar el título. La pandemia que obligó a trastocar el calendario ciclista desplazando dos meses a la Vuelta de sus fechas habituales, también le quitó sus tres primeras etapas previstas inicialmente en Holanda. Sin todavía haber empezado la prueba, el nuevo coronavirus causó dos bajas en los equipos Bahrain-McLaren y Sunweb, aunque ninguno de los afectados es ciclista, según la organización de la prueba, que ha puesto a punto un estricto protocolo sanitario. Burbujas sanitarias para los ciclistas, que prácticamente irán del hotel a la carrera y viceversa, pruebas de covid-19 y un estricto control del público, que no podrá acudir a ninguna de las llegadas en alto de esta montañosa 75 edición de la ronda española. Con un recorrido que sólo visitará la mitad norte de España, la Vuelta, que dejará pocas ocasiones para el lucimiento de los velocistas, empezó con fuerza el martes con una etapa de 173 km, que incluyó tres altos de tercera categoría y un cuarto de primera, donde se situó la meta en Arrate. Ya en el transcurso de la primera jornada se presentó el retiro del suizo Mathias Frank (AG2R La Mondiale) por malestares físicos. En cuanto a los colombianos, y como si la suerte no estuviera de nuestro lado, las cosas también empezaron con alarmas. Del otro lado, en Italia, Fernando Gaviria debía retirarse del Giro por dar positivo, nuevamente, por COVID-19. Y ya, en el comienzo de La Vuelta, Daniel Felipe Martínez (EF Pro Cycling) sufrió una caída en el que se vio un rostro que reflejaba dolor. No obstante, el pedalista que ganó una etapa en el pasado Tour de Francia, se repuso y alcanzó al pelotón principal. Rémi Cavagna (Deceuninck-Quick Step), Jasha Sütterlin (Team Sunweb), Quentin Jauregui (AG2R La Mondiale), Tim Wellens (Lotto Soudal) y Jetse Bol (Burgos BH) protagonizaron la fuga del día. Por varios kilómetros se mantuvieron al frente de la carrera. No obstante, en los últimos 45 kilómetros empezó a neutralizarse la escapada y el pelotón empezó a marcar el ritmo del día. Una de las imágenes más llamativas la dio el Ineos Grenadiers. Chris Froome, dos veces ganador de La Vuelta a España y líder del equipo británico, empezó a flaquear en los últimos 20 kilómetros de carrera y los integrantes de la escuadra -Iván Ramiro Sosa es uno de ellos- empezó a colaborarle a Richard Carapaz. En los últimos cinco kilómetros empezó la batalla del día. Y así como en el Tour de Francia, el Jumbo-Visma y el Ineos Grenadiers empezaron a hacer sus manifiestos en la montaña. Iván Ramiro Sosa estaba comandando al pelotón, pero el combate en el ascenso lo empezó Sepp Kuss, compañero de Tom Dumoulin y Primoz Roglic en el tren amarillo. Sosa se quedó atrás y al frente quedó Carapaz. A su lado estuvo Esteban Chaves (Mitchelton-Scott), que se mostró sólido y que se tiene confianza en una carrera en la que ya estuvo en el podio (tercero en 2016). Finalmente la etapa fue para el actual campeón. Richard Carapaz y Esteban Chaves fueron protagonistas y llegaron en los primeros lugares en una jornada muy competitiva en el ascenso final. En los próximos días llegarán las llegadas en el alto de la Laguna Negra, en el Tourmalet, en el inédito puerto de Moncalvillo o el Angliru para poner a prueba al pelotón, durante dos semanas y media entre el frío y el coronavirus.
